start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2004-05-22,2004-05-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2007-07-07,2007-07-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2007-07-21,2007-07-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2010-06-26,2010-07-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2015-08-29,2015-09-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2012-11-24,2012-12-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.475,NA
2001-06-23,2001-07-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2001-07-21,2001-07-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2004-01-31,2004-02-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2007-09-15,2007-09-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2007-11-10,2007-11-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2007-11-17,2007-11-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2009-11-14,2009-11-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2010-01-23,2010-01-31,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
2010-02-20,2010-02-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
